station	id	state	city	owner	website	station_info	subchannels	source	collection_date
KOAA		CO	 Pueblo	 E. W. Scripps Company	https://koaa.com/	 Digital Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
KTSC		CO	 Pueblo	 Rocky Mountain Public Broadcasting Network		 Digital Educational Full-Power - 234 kW		stationindex	2023-05-17 12:50:01.701573
KKTV	" ""11 News"""	CO	 Colorado Springs	 Gray Television	http://www.kktv.com/	 Digital Full-Power - 234 kW		stationindex	2023-05-17 12:50:01.701573
KRDO	" ""News 13"""	CO	 Colorado Springs	 The Pikes Peak Broadcasting Co.	https://www.krdo.com/	 Digital Full-Power - 282 kW		stationindex	2023-05-17 12:50:01.701573
KXRM	" ""FOX 21"""	CO	 Colorado Springs	 Barrington Broadcasting	http://www.kxrm.com/	 Digital Full-Power - 51 kW	 21.1 Fox, 21.2 CW, 21.3 MundoMax	stationindex	2023-05-17 12:50:01.701573
KGHB-CD		CO	 Pueblo	 Entravision		 Digital Class-A - 7.71 kW		stationindex	2023-05-17 12:50:01.701573
KVSN		CO	 Pueblo	 Entravision		 Digital Full-Power - 950 kW		stationindex	2023-05-17 12:50:01.701573
KWHS-LD		CO	 Colorado Springs	" 	Christian Television Network"	http://kwhstv51.com/	 Low-Power - 15 kW		stationindex	2023-05-17 12:50:01.701573
KXTU-LP	" ""CW 57"""	CO	 Colorado Springs	 Barrington Broadcasting	http://www.kxtu.com/	 Low-Power - 138 kW		stationindex	2023-05-17 12:50:01.701573
WCYB		VA	 Bristol	 Bluestone Television	http://www.wcyb.com/	 Digital Full-Power - 71.7 kW	 5.1 WCYB/NBC, 5.2 CW	stationindex	2023-05-17 12:50:01.701573
WJHL		TN	 Johnson City	 Nexstar Media Group	https://www.wjhl.com/	 Digital Full-Power - 245 kW		stationindex	2023-05-17 12:50:01.701573
WUNE	" ""UNC TV"""	NC	 Linville	 University of Noth Carolina	http://www.unctv.org/	 Digital Educational Full-Power - 1550 kW		stationindex	2023-05-17 12:50:01.701573
WKPT	" ""ABC 19"""	TN	 Kingsport		http://www.abc19.tv/	 Digital Full-Power - 200 kW	 19.1 WKPT/ABC	stationindex	2023-05-17 12:50:01.701573
WEMT	" ""FOX Tri-Cities"""	TN	 Greeneville	 Aurora Broadcasting	http://www.foxtricities.com/	 Digital Full-Power - 3020 kW		stationindex	2023-05-17 12:50:01.701573
WLFG		VA	 Grundy	 Living Faith Ministries		 Digital Full-Power - 1150 kW		stationindex	2023-05-17 12:50:01.701573
WCAX	" ""3 News"""	VT	 Burlington		http://www.wcax.com/	 Digital Full-Power - 443 kW		stationindex	2023-05-17 12:50:01.701573
WPTZ		NY	 North Pole	 Hearst Television	http://www.wptz.com/	 Digital Full-Power - 25.1 kW		stationindex	2023-05-17 12:50:01.701573
