location	station	Affiliations	website	city	state	broadcaster	source	collection_date
Wichita - Hutchinson, KS	KOCW	FOX, MyTV	https://www.foxkansas.comhttps://mytvwichita.com	Wichita - Hutchinson	KS	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Wichita - Hutchinson, KS	KSAS	FOX, MyTV	https://www.foxkansas.comhttps://mytvwichita.com	Wichita - Hutchinson	KS	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Wilkes Barre - Scranton, PA	WOLF	FOX, CW, MyTV	https://www.FOX56.comNewsletter	Wilkes Barre - Scranton	PA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Wilkes Barre - Scranton, PA	WQMY	MyTV, FOX, CW	https://www.FOX56.comNewsletter	Wilkes Barre - Scranton	PA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Wilkes Barre - Scranton, PA	WSWB	CW	https://www.thecw38.com	Wilkes Barre - Scranton	PA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Yakima - Pasco - Richland - Kennewick, WA	KEPR	CBS, CW	https://www.keprtv.comNewsletter	Yakima - Pasco - Richland - Kennewick	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Yakima - Pasco - Richland - Kennewick, WA	KORX	Univision	https://www.kunwtv.com	Yakima - Pasco - Richland - Kennewick	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Yakima - Pasco - Richland - Kennewick, WA	KVVK	Univision	https://www.kunwtv.com	Yakima - Pasco - Richland - Kennewick	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Yakima - Pasco - Richland - Kennewick, WA	KIMA	CBS, CW	https://www.kimatv.comNewsletter	Yakima - Pasco - Richland - Kennewick	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Yakima - Pasco - Richland - Kennewick, WA	KUNW	Univision	https://www.kunwtv.com	Yakima - Pasco - Richland - Kennewick	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
